Times CreateTxGen,Times VerifyTx,Times TxResponse
0.008356332778930664,0.0017473697662353516,0.01027536392211914
0.006979227066040039,"0.0013568401336669922,0.0026123523712158203","0.006636381149291992,0.014396190643310547"
0.020554542541503906,"0.002907276153564453,0.002897024154663086","0.015008926391601562,0.013515710830688477"
0.013022899627685547,"0.0026116371154785156,0.0028238296508789062","0.015127897262573242,0.015438556671142578"
0.007313251495361328,0.0027971267700195312,0.007057905197143555
0.013496637344360352,"0.002486705780029297,0.0026154518127441406","0.00653076171875,0.014995336532592773"
0.00672602653503418,"0.0012693405151367188,0.0014500617980957031","0.006510734558105469,0.014805316925048828"
0.011505842208862305,0.0028297901153564453,0.006521940231323242
0.006694316864013672,"0.0014014244079589844,0.0011258125305175781","0.006604671478271484,0.006531715393066406"
0.0066335201263427734,"0.0014483928680419922,0.0027260780334472656","0.0065577030181884766,0.006567478179931641"
